Date,Close,Volume,Open,High,Low
8/4/2023,1939.6,290,1934.9,1945,1920
8/3/2023,1932,773,1934.2,1936.5,1928
8/2/2023,1937.4,652,1948.4,1953.6,1933.2
8/1/2023,1940.7,688,1964.9,1965.4,1940.8
7/31/2023,1970.5,1025,1959.2,1971.6,1950
7/28/2023,1960.4,22705,1945.5,1962.2,1944.2
7/27/2023,1945.7,192370,1973.3,1982.6,1941.7
7/26/2023,1970.1,204484,1966.3,1979.9,1963.2
7/25/2023,1963.7,182563,1957,1967.1,1951.6
7/24/2023,1962.2,193572,1963.6,1969.8,1955.3
7/21/2023,1966.6,152540,1972.1,1975.9,1958.8
7/20/2023,1970.9,186560,1980,1989.8,1967.7
7/19/2023,1980.4,155975,1982.5,1984.6,1973.3
7/18/2023,1980.8,256970,1958.3,1988.3,1958.1
7/17/2023,1956.4,161963,1958.6,1963.6,1949
7/14/2023,1964.4,191150,1965.2,1967.8,1954.7
7/13/2023,1963.8,219133,1962.7,1968.5,1956.6
7/12/2023,1961.7,250982,1938,1965.1,1937.5
7/11/2023,1937.1,174842,1930.8,1944.5,1929.8
7/10/2023,1931,195109,1930.7,1933.7,1918
7/7/2023,1932.5,208113,1916.6,1941.1,1915.4
7/6/2023,1915.4,226527,1922.4,1934,1908.5
